"#put","your","comments","after","a","#'.",,,,,,
"#Variable","name:","pt",,,,,,,,,
"#","ptBin","ptMin","ptMax","Value","Error",,,,,,
,1,0,2.5,11.67,4.96,,4.668000,,0,2,9.3360
,2,2.5,5,16.81,7.14,,6.724000,,2,4,12.4200
,3,5,7.5,8,6.99,,3.201200,,4,6,9.9252
,4,7.5,10,18.62,7.51,,7.448000,,6,8,8.5258
,5,10,12.5,15.11,7.22,,6.044000,,8,10,14.8960
,6,12.5,15,2.01,6.04,,0.802000,,10,12,12.0880
,7,15,17.5,16.14,7.59,,6.456000,,12,14,4.2250
,8,17.5,20,7.98,6.78,,3.190400,,14,16,7.2580
,9,20,30,13.26,11.91,,1.326000,,16,18,11.2792
,10,30,40,4.67,7.44,,0.467200,,18,20,6.3808
,11,40,50,8.23,5.67,,0.822500,,20,30,2.6520
,12,50,70,9.06,6.05,,0.453200,,,40,0.9344
,13,70,90,1.5,1.48,,0.075000,,,50,1.6450
,14,90,110,1.33,1.9,,0.066500,,,70,0.9064
,15,110,150,0.6,2.31,,0.014945,,,90,0.1500
,16,150,190,0.1,2.99,,0.002500,,,110,0.1330
,17,190,250,0.05,2.94,,0.000833,,,150,0.0299
,18,250,600,0.02,2.5,,0.000057,,,190,0.0050
,,,,,,,,,,250,0.0017
,,,,,,,,,,600,0.0001
,,,,,,,,,,,"xxxxxxxxxx"
